,year,team,topicID,un,cut-off,fnCutoff,pairwiseBiasCut
0,2005.0,CNDS01,1.0,100.0,10.0,0.0,1.0
1,2005.0,CNDS01,1.0,100.0,20.0,2.0,0.75
2,2005.0,CNDS01,1.0,100.0,40.0,6.0,0.651960784314
3,2005.0,CNDS01,1.0,100.0,80.0,12.0,0.492647058824
4,2005.0,CNDS01,1.0,100.0,100.0,13.0,0.41290893015
5,2005.0,CNDS02,1.0,49.0,10.0,0.0,1.0
6,2005.0,CNDS02,1.0,49.0,20.0,2.0,0.0
7,2005.0,CNDS02,1.0,49.0,40.0,6.0,0.21568627451
8,2005.0,CNDS02,1.0,49.0,49.0,6.0,0.170542635659
9,2005.0,CNDS03,1.0,100.0,10.0,2.0,0.3125
10,2005.0,CNDS03,1.0,100.0,20.0,4.0,0.484375
11,2005.0,CNDS03,1.0,100.0,40.0,8.0,0.4921875
12,2005.0,CNDS03,1.0,100.0,80.0,15.0,0.452307692308
13,2005.0,CNDS03,1.0,100.0,100.0,16.0,0.384672619048
14,2005.0,CNDS04LC,1.0,100.0,10.0,0.0,1.0
15,2005.0,CNDS04LC,1.0,100.0,20.0,3.0,0.823529411765
16,2005.0,CNDS04LC,1.0,100.0,40.0,5.0,0.48
17,2005.0,CNDS04LC,1.0,100.0,80.0,12.0,0.541666666667
18,2005.0,CNDS04LC,1.0,100.0,100.0,15.0,0.540392156863
19,2005.0,CNDS06,1.0,49.0,10.0,0.0,1.0
20,2005.0,CNDS06,1.0,49.0,20.0,2.0,0.0
21,2005.0,CNDS06,1.0,49.0,40.0,6.0,0.21568627451
22,2005.0,CNDS06,1.0,49.0,49.0,6.0,0.170542635659
23,2005.0,DREXEXP1,1.0,97.0,10.0,2.0,0.8125
24,2005.0,DREXEXP1,1.0,97.0,20.0,4.0,0.53125
25,2005.0,DREXEXP1,1.0,97.0,40.0,6.0,0.372549019608
26,2005.0,DREXEXP1,1.0,97.0,80.0,11.0,0.416337285903
27,2005.0,DREXEXP1,1.0,97.0,97.0,11.0,0.334038054968
28,2005.0,DREXEXP2,1.0,100.0,10.0,3.0,0.571428571429
29,2005.0,DREXEXP2,1.0,100.0,20.0,4.0,0.375
30,2005.0,DREXEXP2,1.0,100.0,40.0,6.0,0.333333333333
31,2005.0,DREXEXP2,1.0,100.0,80.0,15.0,0.546666666667
32,2005.0,DREXEXP2,1.0,100.0,100.0,17.0,0.482636428065
33,2005.0,LLEXemails,1.0,100.0,10.0,1.0,0.222222222222
34,2005.0,LLEXemails,1.0,100.0,20.0,3.0,0.549019607843
35,2005.0,LLEXemails,1.0,100.0,40.0,5.0,0.56
36,2005.0,LLEXemails,1.0,100.0,80.0,13.0,0.539609644087
37,2005.0,LLEXemails,1.0,100.0,100.0,16.0,0.517113095238
38,2005.0,MSRA051,1.0,100.0,10.0,2.0,0.6875
39,2005.0,MSRA051,1.0,100.0,20.0,3.0,0.450980392157
40,2005.0,MSRA051,1.0,100.0,40.0,4.0,0.395833333333
