CID,CSRankingAllArea,Average Count,Faculty,R Rankings:5thPercentile,R Rankings:95thPercentile,S Rankings:5thPercentile,S Rankings:95thPercentile,Research Activity:5thPercentile,Research Activity:95thPercentile,Student Support& Outcomes:5thPercentile,Student Support& Outcomes:95thPercentile,Diversity:5thPercentile,Diversity:95thPercentile,"Average Number of Publications (2000-2006) per Allocated Faculty, 2006","Percent of Faculty with Grants,2006","Awards per Allocated Faculty Member, 2006","Percent of First Year Students with Full Financial Support,Fall 2005",Avg. Completion Percentage: 8 Years or Less for Humanities; 6 Years or Less for Other Fields,"Median Time to Degree (Full- and Part-Time Graduates),2006",Percent with Academic Plans,"Non-Asian Minority Faculty as a Percent of Total Core and New Domestic Faculty, 2006","Female Faculty as a Percent of Total Core and New Faculty, 2006","Non-Asian Minority Students as a Percent of Total Domestic Students, Fall 2005","Female Students as a Percent of Total Students, Fall 2005","International Students as a Percent of Total Students,Fall 2005","Average Number of  Ph.D.s Graduated, 2002-2006","Percent of Interdisciplinary Faculty, 2006","Average GRE Scores,2004-2006","Percent of First Year Students with External Fellowships, 2005",Number of Student Activities(Max=18),"Total Faculty, 2006","Number of Allocated Faculty, 2006","Assistant Professors as a Percent of Total Faculty, 2006","Tenured Faculty as a Percent of Total Faculty, 2006","Number of Core and New Faculty, 2006","Number of Students Enrolled, Fall 2005","Average Annual First Year Enrollment, 2002-2006","Percent of Students with Research Assistantships, Fall 2005","Percent of Students with Teaching Assistantships, Fall 2005",Percent of First Year Students with Institutional Fellowships Alone,Percent  of First Year Students with a Combination of Fellowships and Traineeships,Percent of First Year Students with Both Internal Fellowships and Internal Assistantships,Percent of First Year Students with Multiple Internal Assistantships,Count of Student Activities,Regional Code 1=NE 2=MW 3=SA 4=SC 5=W,Program Size Quartile,Collects Data About Post-Graduation Employment (1=Yes; 0=No),Is Student Work Space Provided? (1=Yes; 0=No),Is Health Insurance Provided? (1=Yes; 0=No),Orientation for New Graduate Students,International Student Orientation,Language Screening / Support Prior to Teaching,Instruction in Writing,Instruction in Statistics,Prizes / Awards for Teaching or Research,Assistance / Training in Proposal Writing,On-campus Graduate Research Conferences,Formal Training in Academic Integrity,Active Graduate Student Association,Staff Assigned to the Graduate Student Association,Financial Support for the Graduate Student Association,Posted Academic Grievance Procedure,Dispute Resolution Procedure,Regular Graduate Programs Directors / Coordinators Meetings,Annual Review of All Enrolled Doctoral Students,Organized Training to Help Students Improve Teaching Skills,Travel Support to Attend Professional Meetings
1,1,1,1,0.033898305,0.082474227,0.029850746,0.090909091,0.074074074,0.377192982,0.05,0.239583333,0.458333333,0.772277228,0.33827983,0.866599081,0.132450671,0.925832849,0.816891356,0.675850891,0.637532134,0.096333853,0.75257134,0.097441559,0.628215155,0.539893035,1,0.339336476,0.795576836,0.81325,0.875,1,1,0.233333333,0.253968254,1,1,1,0.43486169,0.006157635,0.037815126,0.808571429,0,0,0.875,1,4,1,1,0,3,1,1,2,1,3,3,2,4,3,1,3,3,3,3,2,3,3
2,2,0.804733728,0.462962963,0.033898305,0.030927835,0.029850746,0.070707071,0.024691358,0.078947368,0.04,0.239583333,0.616666667,0.851485149,0.443670503,0.888063484,0.47556163,1,0.94831483,0.61102107,0.520565553,0.188377535,0.670211121,0.292708683,0.558611401,0.412410356,0.810344828,0,0.333775808,0.164475,0.875,0.341040462,0.3454105,0.1,0.53968254,0.442028986,0.644204852,0.383040936,0.706585501,0.260791368,0.276260504,0.188571429,0,0,0.875,1,4,1,1,1,3,1,3,1,4,3,3,2,3,3,1,3,3,3,3,2,3,2
3,3,0.763313609,0.37962963,0,0,0,0,0,0,0.42,0.760416667,0.95,0.99009901,1,0.837321494,0.812214914,0.870191908,0.912351308,0.351701783,0.473007712,0.46424857,0.276196737,0.167426679,0.186218283,0.454065881,0.66091954,0.11556195,1,0.2734375,0.375,0.167630058,0.117178738,0.466666667,0.666666667,0.202898551,0.361185984,0.347953216,0.463660477,0.287356323,0.426470588,0.222857143,0,0.828042328,0.375,5,4,0,1,1,2,1,1,4,4,3,4,2,4,2,4,1,1,1,3,2,3,3
4,4,0.591715976,0.333333333,0,0,0,0,0,0,0.27,0.635416667,0.9,0.98019802,0.604482132,0.782227194,1,0.925832849,0.406443299,0.675850891,0.520565553,0.302392096,0.269778053,0.410262564,0.210245047,0.442518537,0.620689655,0.511474728,0.749946666,0.0446375,1,0.260115607,0.212088186,0.066666667,1,0.210144928,0.474393531,0.406432749,0.759730592,0,0.713235294,0,0.143,0,1,5,4,1,1,1,3,1,3,3,1,3,1,3,1,3,1,3,3,3,1,3,3,3
5,5,0.538461538,0.37962963,0.033898305,0.164948454,0.104477612,0.424242424,0.098765432,0.473684211,0.21,0.604166667,0.458333333,0.762376238,0.454875833,0.650591669,0.063261297,0.950548309,0.520162569,0.633711507,0.479434447,0.333333333,0.483334622,0.129746076,0.357055961,0.797799927,0.816091954,0.451535742,0.333775808,0.1,1,0.595375723,0.472139558,0.6,0.587301587,0.536231884,0.784366577,0.850877193,0.703670797,0.47112462,0.210084034,0.114285714,0,0,1,2,4,1,1,1,2,1,3,1,1,3,2,2,2,2,2,2,3,3,3,2,3,3
6,6,0.526627219,0.333333333,0.220338983,0.329896907,0.208955224,0.565656566,0.172839506,0.596491228,0.22,0.625,0.483333333,0.811881188,0.27195639,0.774623761,0.04504997,1,0.300852498,0.659643436,0.56940874,0.224128965,0.435697162,0.112945807,0.755344108,0.48162149,0.408045977,0.380954032,0.904615166,0.0925875,1,0.433526012,0.375194578,0.133333333,0.650793651,0.413043478,0.318059299,0.260233918,0.635622096,0.62080537,0.077731092,0.052857143,0.222,0,1,5,4,1,1,1,3,3,1,1,3,3,3,3,3,3,2,3,1,1,1,2,3,3
7,7,0.443786982,0.62037037,0.084745763,0.268041237,0.208955224,0.575757576,0.209876543,0.657894737,0.26,0.666666667,0.25,0.485148515,0.233192005,0.78210484,0.034987614,0.861531112,0.309159397,0.724473258,0.627249357,0.400026001,0.713865904,0.410262564,0.558611401,0.657809651,0.551724138,0.269638771,0.917794581,0.05555,1,0.427745665,0.445668733,0.666666667,0.492063492,0.449275362,0.576819407,0.505847953,0.733165195,0.450819673,0,0,0,0,1,3,4,1,1,0,3,3,1,1,1,3,3,3,1,3,1,3,1,1,3,2,1,2
8,8,0.378698225,0.324074074,0.118644068,0.257731959,0.089552239,0.363636364,0.074074074,0.377192982,0.08,0.395833333,0.641666667,0.871287129,0.453664446,0.810316198,0.080071752,0.937069037,0.481879461,0.578606159,0.700514139,0.265340614,0.327700874,0.290932655,0.429179701,0.57542239,0.298850575,0.268546766,0.92855619,0.1351375,1,0.317919075,0.323996553,0.5,0.666666667,0.333333333,0.396226415,0.359649123,0.629585798,0.26923077,0.425420168,0,0,0.142857143,1,5,4,1,1,1,3,1,3,1,1,3,3,1,1,3,1,3,3,3,3,3,3,3
9,9,0.325443787,0.287037037,0.06779661,0.154639175,0.059701493,0.252525253,0.049382716,0.298245614,0.02,0.125,0.6,0.891089109,0.231677771,0.708692384,0.432083369,1,1,0.578606159,0.607969152,0,0.483334622,0,0.31504171,0.784818281,0.264367816,0.10195521,1,0,0.875,0.202312139,0.175885589,0.7,0.53968254,0.246376812,0.245283019,0.233918129,0.655477856,0.37878788,0.429621849,0,0.455,0,0.875,1,4,1,1,1,3,1,1,1,1,3,3,2,4,3,1,1,1,1,3,2,1,3
10,10,0.319526627,0.453703704,0.118644068,0.257731959,0.164179104,0.474747475,0.111111111,0.447368421,0.65,0.84375,0.375,0.663366337,0.499697153,0.686021919,0.03334757,0.516989283,0.390642347,0.675850891,0.475578406,0,0.282924754,0.446503144,0.700078206,0.58655646,0.431034483,0.64000208,1,0.0329,1,0.283236994,0.186580388,0.266666667,0.888888889,0.195652174,0.35309973,0.473684211,0.584615385,0.339506173,0.691176471,0,0,0,1,2,4,1,1,1,3,3,3,1,1,3,3,3,3,3,3,3,1,1,3,2,3,3
11,11,0.307692308,0.268518519,0.084745763,0.206185567,0.28358209,0.636363636,0.061728395,0.359649123,1,1,1,1,0.449121744,0.821520337,0.09365337,0,0.338540841,1,0.553984576,0,0.351519604,0,0.189954814,0,0.350574713,0.56000832,0.742811767,0.048075,1,0.283236994,0.20468854,0.533333333,0.80952381,0.217391304,0.431266846,0.304093567,0.627553238,0.889830508,0.444327731,0,0,0,1,4,4,1,1,1,3,1,1,1,2,3,1,3,3,3,1,1,1,3,1,2,3,3
12,12,0.289940828,0.324074074,0.423728814,0.587628866,0.119402985,0.373737374,0.074074074,0.359649123,0.41,0.802083333,0.191666667,0.386138614,0.465778316,0.58513223,0.199538738,1,0.550297383,0.416531605,0.584832905,0,0.407006419,0.857149714,0.541579771,0.715011547,0.229885057,0,0.720221869,0.277775,0.375,0.115606936,0.169928054,0.533333333,0.53968254,0.15942029,0.164420485,0.195906433,0.687782805,0.343137255,0.233193277,0,0,0,0.375,1,3,0,1,1,3,1,1,4,4,3,2,4,4,3,3,3,3,3,4,2,3,2
