CID,College Name
1,Carnegie Mellon University
2,Massachusetts Institute of Technology
3,Stanford University
4,University of California--Berkeley
5,University of Illinois--Urbana-Champaign
6,University of Washington
7,Georgia Institute of Technology
8,University of California--San Diego
9,Cornell University
10,University of Michigan
11,University of Texas--Austin
12,Columbia University
13,University of Massachusetts--Amherst
14,University of Maryland--College Park
15,University of Wisconsin--Madison
16,University of Southern California
17,University of California--Los Angeles
18,Northeastern University
19,Purdue University--West Lafayette
20,Harvard University
21,University of Pennsylvania
22,University of California--Santa Barbara
23,Princeton University
24,New York University
25,Ohio State University
26,University of California--Davis
27,Rutgers The State University of New Jersey--New Brunswick
28,University of Minnesota--Twin Cities
29,Brown University
30,Northwestern University
31,Pennsylvania State University
32,Texas A&M University--College Station
33,State University of New York--Stony Brook
34,Indiana University--Bloomington
35,Duke University
36,Rice University
37,University of Utah
38,Johns Hopkins University
39,University of Chicago
40,University of California--Irvine
41,Boston University
42,University of Colorado--Boulder
43,University of North Carolina--Chapel Hill
44,Dartmouth College
45,Yale University
46,University of Virginia
47,University of Rochester
48,Arizona State University
49,University of Arizona
50,Virginia Polytechnic Institute and State University
51,Washington University in St. Louis
52,University of Pittsburgh
53,Tufts University
54,University of Florida
55,Rensselaer Polytechnic Institute
56,North Carolina State University
57,California Institute of Technology
