CID,USRankSystem,USnewsTotalRank,Parsed SAT/ACT 25th percentile,Parsed SAT/ACT 75th percentile,Parsed Room and board,Parsed Student-faculty ratio,Total undergraduate enrollment,Total faculty full time,Total faculty part time,Classes with fewer than 20 students percentage,Classes with 50 or more students percentage,6-year graduation rate percentage,Average percent of need met,Received need-based scholarship or grant aid percent,Received need-based self-help aid percent,Average financial aid package dollar,Average need-based scholarship or grant award (undergraduates)dollar,"Average need-based loan (excluding PLUS, unsubsidized, or other private loans) dollar",Fall 2014 acceptance rate percent,Applicants,Average high school GPA,Average freshman retention rate percent,Average alumni giving rate percent,Degree-seeking women percent,Degree-seeking men percent,Diversity index,In sorority percent,In fraternity percent,Students who live off-campus percent,Room and board,Student-faculty ratio,SAT/ACT 25th-75th percentile,College Name,LocationCity,State,Category Name,School type,Religious affiliation,Setting,Selectivity,Costs
4,1,20,1290,1490,"15,422",17,"27,126",1642,630,59,15,91,85,51,46,"23,345","22,135","4,640",16,"73,779",3.9,97,12.8,52,48,0.68,10,10,74,"15,422 (2015-16)",17:01,1290-1490,University of California--Berkeley,Berkeley,CA,National Universis,public,NaN,city,most selective,"2015-2016 In-state tuition and fees: 13,432; Out-of-state tuition and fees: 38,140"
2,2,7,1420,1570,"13,730",8,"4,512",1230,274,67,14,91,100,57,52,"42,353","39,576","2,974",7.9,"18,356",NaN,98,36.8,46,54,0.7,32,50,13,"13,730 (2015-16)",8:01,1420-1570,Massachusetts Institute of Technology,Cambridge,MA,National Universis,private,NaN,urban,most selective,"2015-2016 Tuition and Fees: 46,704"
3,3,4,1380,1570,"14,107",4,"7,019",1559,24,70,11,95,100,47,36,"47,000","43,350","3,100",5.1,"42,167",4,98,35.5,47,53,0.73,28,24,8,"14,107 (2015-16)",4:01,1380-1570,Stanford University,Stanford,CA,National Universis,private,NaN,suburban,most selective,"2015-2016 Tuition and Fees: 46,320"
1,4,23,1340,1540,"12,830",13,"6,309",944,67,65,11,88,83,44,39,"36,001","30,068","5,445",24.6,"19,812",3.7,95,16.7,44,56,0.65,20,21,39,"12,830 (2015-16)",13:01,1340-1540,Carnegie Mellon University,Pittsburgh,PA,National Universis,private,NaN,urban,most selective,"2015-2016 Tuition and Fees: 50,410"
6,5,52,1110,1350,"10,833",11,"30,672",3307,1211,35,22,84,NaN,NaN,NaN,NaN,NaN,NaN,55.2,"31,611",3.8,93,13.2,52,48,0.64,15,16,76,"10,833 (2014-15)",11:01,1110-1350,University of Washington,Seattle,WA,National Universis,public,NaN,urban,more selective,"2014-2015 In-state tuition and fees: 12,394; Out-of-state tuition and fees: 33,513"
7,6,36,1310,1490,"13,194",19,"14,682",1054,99,39,25,82,58,35,27,"11,415","9,395","3,983",33.4,"25,884",3.9,96,25.9,34,66,0.57,30,23,46,"13,194 (2015-16)",19:01,1310-1490,Georgia Institute of Technology,Atlanta,GA,National Universis,public,NaN,urban,most selective,"2015-2016 In-state tuition and fees: 12,204; Out-of-state tuition and fees: 32,396"
5,7,41,26,32,"11,010",18,"32,959",1928,3,42,20,84,65,37,36,"15,793","13,522","4,636",59,"35,822",NaN,94,9.7,44,56,0.58,23,23,50,"11,010 (2015-16)",18:01,26-32,University of Illinois--Urbana-Champaign,Champaign,IL,National Universis,public,NaN,city,more selective,"2015-2016 In-state tuition and fees: 15,626; Out-of-state tuition and fees: 30,786"
11,8,52,1170,1390,"11,456",18,"39,523",2745,281,36,25,81,67,35,30,"12,935","9,118","4,987",39.7,"38,785",NaN,94,11.4,52,48,0.66,17,15,81,"11,456 (2014-15)",18:01,1170-1390,University of Texas--Austin,Austin,TX,National Universis,public,NaN,urban,more selective,"2015-2016 In-state tuition and fees: 9,830; Out-of-state tuition and fees: 34,836"
15,8,41,26,31,"8,804",17,"31,289",2443,492,46,20,85,80,30,31,"14,015","9,890","5,995",49.8,"30,464",3.8,95,10.9,51,49,0.3,8,9,75,"8,804 (2015-16)",17:01,26-31,University of Wisconsin--Madison,Madison,WI,National Universis,public,NaN,city,more selective,"2015-2016 In-state tuition and fees: 10,415; Out-of-state tuition and fees: 29,665"
10,10,29,29,33,"10,246",15,"28,395",2660,599,48,18,91,82,30,33,"21,422","15,050","5,205",32.2,"49,776",3.8,97,19.1,49,51,0.43,25,17,66,"10,246 (2014-15)",15:01,29-33,University of Michigan,Ann Arbor,MI,National Universis,public,NaN,city,most selective,"2014-2015 In-state tuition and fees: 14,336; Out-of-state tuition and fees: 43,377"
8,11,39,1180,1420,"12,243",19,"24,810",1032,191,38,36,86,85,58,46,"22,196","17,624","5,833",33.5,"73,440",4,95,6.7,48,52,0.65,12,12,56,"12,243 (2015-16)",19:01,1180-1420,University of California--San Diego,La Jolla,CA,National Universis,public,NaN,urban,most selective,"2015-2016 In-state tuition and fees: 14,042; Out-of-state tuition and fees: 38,066"
